@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
1.30103,0,1.690196,1.579784,1.740363,1.161368,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.69897,0.477121,0.477121,0.477121,0.60206,0.69897,no
1.491362,0,1.851258,1.778151,1.929419,1.342423,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.845098,0.60206,0.477121,0.477121,0.845098,0.90309,no
1.361728,0,1.755875,1.633468,1.819544,1.236789,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.69897,0.60206,0.30103,0.477121,0.69897,0.69897,no
1.278754,0,0.60206,0.60206,1.30103,1.30103,0.30103,0,0,0.30103,1.568202,1.568202,1.079181,1.643453,2.103804,0.69897,0.477121,0.477121,0.477121,0.477121,0.69897,no
1.812913,0.477121,2.093422,2,2.152288,1.559308,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.778151,0.60206,0.477121,0.477121,0.845098,0.778151,no
1.462398,0,1.80618,1.579784,1.863323,1.187521,0.778151,0,0,0.477121,2.495822,2.850646,1.818226,1.643453,2.103804,0.90309,0.60206,0.477121,0.30103,0.60206,0.90309,no
1.591065,0,1.913814,1.763428,1.982271,1.30103,0.778151,0.30103,0.079181,0.477121,2.494433,2.850646,1.819544,1.778151,2.103804,0.954243,0.477121,0.69897,0.69897,0.69897,1,no
1.230449,0,1.662758,1.50515,1.716003,1.138303,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.69897,0.477121,0,0.954243,0.477121,0.69897,no
1.255273,0,1.30103,1.30103,1.414973,1.414973,0.30103,0,0,0.30103,2.247973,2.247973,1.623249,2.056905,2.103804,0.60206,0.477121,0.30103,0.60206,0.60206,0.60206,no
2.502427,1.361728,2.693727,2.424882,2.793092,1.952163,0.90309,0,0,0.477121,2.580925,2.951823,1.916822,1.361728,2.103804,1.322219,0.30103,1.079181,1.255273,1.255273,1.623249,no
1.342423,0.30103,2.037426,1.863323,2.217484,1.387923,0.90309,0.30103,0.056905,0.477121,2.537643,2.951823,1.881613,1.361728,2.103804,0.69897,0.477121,0.69897,0,0.778151,0.69897,no
1.255273,0,1.69897,1.146128,1.977724,1.10551,0.954243,0.30103,0.053078,0.69897,2.472581,2.951823,1.825296,0.30103,1.041393,0,0.30103,0,0,0,0,no
2.056905,0.778151,2.509203,1.919078,2.686636,1.446226,1.278754,0.477121,0.045323,0.778151,2.304641,2.951823,1.665862,1.380211,1.255273,1.20412,0.30103,1.39794,0.477121,1.113943,1.50515,no
2.075547,0.845098,2.664642,2.285557,2.880242,1.41946,1.491362,0.845098,0.079181,0.69897,2.16711,2.951823,1.546543,1.672098,1.255273,1.322219,0.30103,1.462398,0.30103,1.079181,1.447158,no
1.78533,0.30103,1.963788,1.959041,1.968483,1.672098,0.477121,0,0,0.30103,1.848189,2.10721,1.431364,1.380211,2.103804,0.778151,0.30103,1.431364,0.30103,0.90309,1.146128,no
1.579784,0.477121,2.30963,1.690196,2.537819,1.281261,1.30103,0.477121,0.045323,0.60206,2.313192,2.951823,1.666237,2.017033,2.103804,0.778151,0.30103,0.69897,0.30103,0.845098,0.90309,no
